code,name,metric,sex,age,in,out,net,abs
24000,三重県,male_0_9,男,0-9歳,3,0,3,3
24000,三重県,male_10_19,男,10-19歳,4,0,4,4
24000,三重県,male_20_29,男,20-29歳,17,4,13,13
24000,三重県,male_30_39,男,30-39歳,18,1,17,17
24000,三重県,male_40_49,男,40-49歳,9,3,6,6
24000,三重県,male_50_59,男,50-59歳,3,6,-3,3
24000,三重県,male_60_plus,男,60歳以上,0,1,-1,1
24000,三重県,male_unknown,男,不詳/その他,0,0,0,0
24000,三重県,female_total,女,総数,13,4,9,9
24000,三重県,female_0_9,女,0-9歳,1,0,1,1
24000,三重県,female_10_19,女,10-19歳,0,0,0,0
24000,三重県,female_20_29,女,20-29歳,5,2,3,3
24000,三重県,female_30_39,女,30-39歳,5,0,5,5
24000,三重県,female_40_49,女,40-49歳,1,0,1,1
24000,三重県,female_50_59,女,50-59歳,0,2,-2,2
24000,三重県,female_60_plus,女,60歳以上,1,0,1,1
24000,三重県,female_unknown,女,不詳/その他,0,0,0,0
40000,福岡県,both_total,総数,総数,132,90,42,42
40000,福岡県,both_0_9,総数,0-9歳,8,12,-4,4
40000,福岡県,both_10_19,総数,10-19歳,8,7,1,1
40000,福岡県,both_20_29,総数,20-29歳,61,29,32,32
40000,福岡県,both_30_39,総数,30-39歳,21,22,-1,1
40000,福岡県,both_40_49,総数,40-49歳,15,13,2,2
40000,福岡県,both_50_59,総数,50-59歳,10,5,5,5
40000,福岡県,both_60_plus,総数,60歳以上,9,2,7,7
40000,福岡県,both_unknown,総数,不詳/その他,0,0,0,0
40000,福岡県,male_total,男,総数,82,66,16,16
40000,福岡県,male_0_9,男,0-9歳,4,8,-4,4
40000,福岡県,male_10_19,男,10-19歳,4,3,1,1
40000,福岡県,male_20_29,男,20-29歳,35,25,10,10
40000,福岡県,male_30_39,男,30-39歳,15,14,1,1
40000,福岡県,male_40_49,男,40-49歳,13,9,4,4
40000,福岡県,male_50_59,男,50-59歳,7,5,2,2
40000,福岡県,male_60_plus,男,60歳以上,4,2,2,2
40000,福岡県,male_unknown,男,不詳/その他,0,0,0,0
40000,福岡県,female_total,女,総数,50,24,26,26
40000,福岡県,female_0_9,女,0-9歳,4,4,0,0
40000,福岡県,female_10_19,女,10-19歳,4,4,0,0
40000,福岡県,female_20_29,女,20-29歳,26,4,22,22
40000,福岡県,female_30_39,女,30-39歳,6,8,-2,2
40000,福岡県,female_40_49,女,40-49歳,2,4,-2,2
40000,福岡県,female_50_59,女,50-59歳,3,0,3,3
40000,福岡県,female_60_plus,女,60歳以上,5,0,5,5
40000,福岡県,female_unknown,女,不詳/その他,0,0,0,0
02000,青森県,both_total,総数,総数,72,109,-37,37
